,Source,Destination,Class,Page_Rank_Src,Page_Rank_Dst,Shortest_Path,Followers_Src,Followees_Src,Followers_Dst,Followees_Dst,Int_Followers,Int_Followees
0,47106,34405,1,0.0007368644475559093,0.00554084168976875,-1,0,0,12,0,0,0
1,47106,8032,1,0.0007368644475559093,0.017016522644287786,-1,0,0,39,0,0,0
2,75824,8032,1,0.0016902132005927229,0.017016522644287786,-1,0,0,39,0,0,0
3,75824,34405,1,0.0016902132005927229,0.00554084168976875,-1,0,0,12,0,0,0
4,76,8032,1,0.00029661587705586974,0.017016522644287786,4,0,4,39,0,0,0
5,282709,8032,1,0.0009052047084446547,0.017016522644287786,3,0,5,39,0,0,0
6,282709,20043,1,0.0009052047084446547,0.002598123205297245,4,0,5,6,0,0,0
7,282709,66878,1,0.0009052047084446547,0.0014183363500416516,4,0,5,3,0,0,0
8,307295,8032,1,0.0009427413649214021,0.017016522644287786,-1,1,0,39,0,0,0
9,307295,34405,1,0.0009427413649214021,0.00554084168976875,-1,1,0,12,0,0,0
10,2192,2650,1,0.0024951231109628237,0.012369811455396547,6,1,1,31,1,1,0
11,167,4723,1,0.000670797824047858,0.0009186884090753899,6,1,3,1,2,0,0
12,167,4842,1,0.000670797824047858,0.0014953085594941599,5,1,3,3,0,0,0
13,167,4843,1,0.000670797824047858,0.0008205585121626737,5,1,3,5,0,0,0
14,241841,20043,1,0.00029661587705586974,0.002598123205297245,4,0,3,6,0,0,0
15,241841,2650,1,0.00029661587705586974,0.012369811455396547,4,0,3,31,1,0,0
16,217299,2650,1,0.0016771946779894505,0.012369811455396547,3,0,3,31,1,0,0
17,8452,8032,1,0.00029661587705586974,0.017016522644287786,6,0,1,39,0,0,0
18,287024,8032,1,0.00123323560986217,0.017016522644287786,3,2,1,39,0,0,0
19,65862,8032,1,0.00042173599512385237,0.017016522644287786,-1,0,0,39,0,0,0
20,82292,8032,1,0.0005047272865229049,0.017016522644287786,4,0,3,39,0,0,0
21,45446,8032,1,0.0007319541424446884,0.017016522644287786,-1,0,0,39,0,0,0
22,254416,8032,1,0.00029661587705586974,0.017016522644287786,6,0,4,39,0,0,0
23,73363,2650,1,0.0004251428921084999,0.012369811455396547,6,0,2,31,1,0,0
24,73363,63165,1,0.0004251428921084999,0.0014209270093980492,5,0,2,2,0,0,0
25,57813,8032,1,0.00029661587705586974,0.017016522644287786,4,0,2,39,0,0,0
26,6619,14988,1,0.0005085664015820339,0.002167044986015097,5,0,5,5,0,0,0
27,6619,2650,1,0.0005085664015820339,0.012369811455396547,6,0,5,31,1,0,0
28,12834,19231,1,0.0015435319050067153,0.0007806749818719723,7,0,4,6,0,0,0
29,12834,19240,1,0.0015435319050067153,0.0010665671266501516,6,0,4,7,0,0,0
30,37448,2650,1,0.0008795441810605454,0.012369811455396547,12,0,5,31,1,0,0
31,37448,34405,1,0.0008795441810605454,0.00554084168976875,4,0,5,12,0,0,0
32,37448,8032,1,0.0008795441810605454,0.017016522644287786,5,0,5,39,0,0,0
33,8808,34750,1,0.00047120889456653877,0.0005127423248772259,5,1,1,4,0,0,0
34,8808,34767,1,0.00047120889456653877,0.0004969061628992775,-1,1,1,0,4,0,0
35,217708,2650,1,0.0007094131780815208,0.012369811455396547,4,0,3,31,1,0,0
36,4723,167,1,0.0009186884090753899,0.000670797824047858,7,1,2,1,3,0,0
37,4723,8032,1,0.0009186884090753899,0.017016522644287786,5,1,2,39,0,0,0
38,4723,2988,1,0.0009186884090753899,0.0004528244566495159,-1,1,2,0,3,0,0
39,11929,20043,1,0.0016763278545367899,0.002598123205297245,3,0,5,6,0,0,0
40,11929,20133,1,0.0016763278545367899,0.0023641505254723247,8,0,5,2,277,0,0
41,62076,8032,1,0.0008325931896043758,0.017016522644287786,5,0,1,39,0,0,0
42,37503,8032,1,0.0005699917730419598,0.017016522644287786,4,0,4,39,0,0,0
43,80516,2650,1,0.0005295355172162063,0.012369811455396547,5,0,3,31,1,0,0
44,41605,2650,1,0.0006049428405647888,0.012369811455396547,6,1,2,31,1,0,0
45,295560,2650,1,0.0007717740497442309,0.012369811455396547,5,0,3,31,1,0,0
46,51867,8032,1,0.0011604017565603026,0.017016522644287786,6,2,3,39,0,0,0
47,74414,2650,1,0.0007127227129475997,0.012369811455396547,-1,0,0,31,1,0,0
48,217807,34405,1,0.000523765915040217,0.00554084168976875,7,0,2,12,0,0,0
49,217807,8032,1,0.000523765915040217,0.017016522644287786,7,0,2,39,0,0,0
50,197358,8032,1,0.00029661587705586974,0.017016522644287786,7,0,1,39,0,0,0
51,140082,2650,1,0.0015713585584073689,0.012369811455396547,6,1,2,31,1,0,0
52,158535,2650,1,0.000889216634363267,0.012369811455396547,-1,1,0,31,1,0,0
53,207699,8032,1,0.002991641240885022,0.017016522644287786,13,1,1,39,0,0,0
54,207699,66878,1,0.002991641240885022,0.0014183363500416516,-1,1,1,3,0,0,0
55,170834,8032,1,0.0012598568646127342,0.017016522644287786,-1,0,0,39,0,0,0
56,170834,34405,1,0.0012598568646127342,0.00554084168976875,-1,0,0,12,0,0,0
57,62300,2650,1,0.0003481625943416319,0.012369811455396547,5,0,4,31,1,0,0
58,62300,8032,1,0.0003481625943416319,0.017016522644287786,4,0,4,39,0,0,0
59,863,8032,1,0.0008423785600104401,0.017016522644287786,-1,1,0,39,0,0,0
60,105192,8032,1,0.0006663072854460055,0.017016522644287786,-1,0,0,39,0,0,0
61,66402,19240,1,0.0003813174765863117,0.0010665671266501516,5,0,1,7,0,0,0
62,310138,2650,1,0.0012604125656766232,0.012369811455396547,14,1,3,31,1,0,0
63,160651,8032,1,0.0004719818490944057,0.017016522644287786,-1,0,0,39,0,0,0
64,146320,80998,1,0.0003942377581798879,0.0023507756297752275,5,0,2,8,0,0,0
65,62355,2650,1,0.000896835218524788,0.012369811455396547,7,0,1,31,1,0,0
66,52118,8032,1,0.0007503318255627381,0.017016522644287786,2,0,2,39,0,0,0
67,52118,34405,1,0.0007503318255627381,0.00554084168976875,5,0,2,12,0,0,0
68,29591,8032,1,0.0005286360728223919,0.017016522644287786,6,0,1,39,0,0,0
69,13215,2650,1,0.0018458280615811769,0.012369811455396547,8,3,1,31,1,0,0
70,43937,8032,1,0.001898108387416164,0.017016522644287786,3,1,1,39,0,0,0
71,2988,2650,1,0.0004528244566495159,0.012369811455396547,5,0,3,31,1,0,0
72,15307,20133,1,0.001909037758284099,0.0023641505254723247,-1,3,0,2,277,0,0
73,72656,2650,1,0.001322535604614239,0.012369811455396547,12,1,2,31,1,0,0
74,130020,8032,1,0.00043651023111609955,0.017016522644287786,4,0,2,39,0,0,0
75,130020,34405,1,0.00043651023111609955,0.00554084168976875,4,0,2,12,0,0,0
76,26254,8032,1,0.0010594416866944354,0.017016522644287786,3,0,1,39,0,0,0
77,222209,2650,1,0.002125351623381973,0.012369811455396547,-1,1,0,31,1,0,0
78,72712,8032,1,0.0013581206169609838,0.017016522644287786,-1,1,0,39,0,0,0
79,158756,8032,1,0.0007765220125499198,0.017016522644287786,4,0,2,39,0,0,0
80,158756,34405,1,0.0007765220125499198,0.00554084168976875,9,0,2,12,0,0,0
81,58427,108872,1,0.00045934474734707294,0.000501174969346522,6,0,2,3,0,0,0
82,58427,98863,1,0.00045934474734707294,0.0009127401105586371,5,0,2,4,2,0,0
83,17472,80998,1,0.0009048319698677148,0.0023507756297752275,6,2,1,8,0,0,0
84,226372,2650,1,0.00047693145872462577,0.012369811455396547,5,0,3,31,1,0,0
85,40025,14988,1,0.0017003232539663361,0.002167044986015097,5,0,3,5,0,0,0
86,40025,2650,1,0.0017003232539663361,0.012369811455396547,8,0,3,31,1,0,0
87,66731,2650,1,0.0005470360922858354,0.012369811455396547,5,0,2,31,1,0,0
88,146650,63091,1,0.0007766330848738697,0.0003212160385043266,5,3,42,3,0,0,0
89,146650,63145,1,0.0007766330848738697,0.0016028559489168464,5,3,42,3,4,0,0
90,146650,108864,1,0.0007766330848738697,0.0012253810857663712,5,3,42,2,0,0,0
91,146650,186065,1,0.0007766330848738697,0.001488595324238603,4,3,42,4,2,0,0
92,146650,40857,1,0.0007766330848738697,0.0006873387620886535,5,3,42,3,2,0,0
93,146650,62991,1,0.0007766330848738697,0.000987257400869229,4,3,42,6,0,0,0
94,146650,108817,1,0.0007766330848738697,0.0018413857241720742,5,3,42,3,1,0,0
95,146650,80998,1,0.0007766330848738697,0.0023507756297752275,3,3,42,8,0,0,0
96,146650,431792,1,0.0007766330848738697,0.0008259599159528542,3,3,42,3,0,0,0
97,146650,186336,1,0.0007766330848738697,0.00031464587436096184,5,3,42,2,0,0,0
98,146650,63172,1,0.0007766330848738697,0.003957319362236182,2,3,42,2,0,0,0
99,146650,62981,1,0.0007766330848738697,0.00040559487824480165,5,3,42,4,0,0,0
100,146650,62940,1,0.0007766330848738697,0.00033126720125123134,6,3,42,4,1,0,0
101,146650,63121,1,0.0007766330848738697,0.002249515528912954,3,3,42,6,1,0,0
102,146650,152385,1,0.0007766330848738697,0.0013905424633447994,4,3,42,2,0,0,0
103,146650,152263,1,0.0007766330848738697,0.0008514472997951921,4,3,42,3,0,0,0
104,146650,152298,1,0.0007766330848738697,0.0011136400397383074,3,3,42,4,1,0,0
105,146650,99012,1,0.0007766330848738697,0.001202415059735335,4,3,42,4,0,0,0
106,146650,63264,1,0.0007766330848738697,0.0006707507673751935,4,3,42,6,2,0,0
107,146650,152352,1,0.0007766330848738697,0.0008550457020863999,3,3,42,4,0,0,0
108,146650,63169,1,0.0007766330848738697,0.0003208932787143597,5,3,42,3,0,0,0
109,146650,98993,1,0.0007766330848738697,0.0019385149234637461,5,3,42,3,2,0,0
110,146650,186286,1,0.0007766330848738697,0.0010471768480890702,5,3,42,4,0,0,0
111,146650,63020,1,0.0007766330848738697,0.00039624275633120545,6,3,42,3,1,0,0
112,146650,108788,1,0.0007766330848738697,0.0009759797397923653,6,3,42,2,0,0,0
113,146650,63221,1,0.0007766330848738697,0.001036572851543344,5,3,42,4,1,0,0
114,146650,431708,1,0.0007766330848738697,0.0003143231145709949,5,3,42,2,0,0,0
115,146650,431746,1,0.0007766330848738697,0.0003143231145709949,5,3,42,2,0,0,0
116,146650,63129,1,0.0007766330848738697,0.0005417695567605895,5,3,42,4,1,0,1
117,146650,431764,1,0.0007766330848738697,0.0009312590600899029,5,3,42,3,0,0,0
118,146650,63089,1,0.0007766330848738697,0.0003512857501042566,5,3,42,4,0,0,0
119,146650,431759,1,0.0007766330848738697,0.001758711311513351,4,3,42,2,0,0,0
120,146650,63202,1,0.0007766330848738697,0.0006062729475286416,4,3,42,4,0,0,0
121,146650,186264,1,0.0007766330848738697,0.001020822640143018,2,3,42,2,0,0,0
122,146650,90853,1,0.0007766330848738697,0.0005909219497653904,2,3,42,6,0,0,0
123,146650,108827,1,0.0007766330848738697,0.001033387648946539,5,3,42,4,3,0,0
124,146650,63237,1,0.0007766330848738697,0.00031890871824585886,6,3,42,2,0,0,0
125,146650,63061,1,0.0007766330848738697,0.0004468038996109966,6,3,42,2,0,0,0
126,146650,99088,1,0.0007766330848738697,0.00034273102549239095,5,3,42,2,1,0,0
127,146650,63032,1,0.0007766330848738697,0.0021590960150169483,4,3,42,3,0,0,0
128,146650,108858,1,0.0007766330848738697,0.0010894918723737949,4,3,42,3,0,0,0
129,105702,2650,1,0.0009055299588446634,0.012369811455396547,9,1,2,31,1,0,0
130,38143,34405,1,0.0006554097914204956,0.00554084168976875,5,0,4,12,0,0,0
131,38143,8032,1,0.0006554097914204956,0.017016522644287786,3,0,4,39,0,0,0
132,312589,8032,1,0.0020577697049802713,0.017016522644287786,-1,0,0,39,0,0,0
133,64833,2650,1,0.000813954909192187,0.012369811455396547,-1,1,0,31,1,0,0
134,263501,66878,1,0.0009466170024901143,0.0014183363500416516,6,2,3,3,0,0,0
135,263501,20043,1,0.0009466170024901143,0.002598123205297245,7,2,3,6,0,0,0
136,52560,80998,1,0.0003829893004571052,0.0023507756297752275,10,0,2,8,0,0,0
137,121572,8032,1,0.0007679943441107485,0.017016522644287786,8,0,2,39,0,0,0
138,121572,34405,1,0.0007679943441107485,0.00554084168976875,8,0,2,12,0,0,0
139,56717,8032,1,0.0013407342261033584,0.017016522644287786,-1,0,0,39,0,0,0
140,60820,8032,1,0.0011366781183292304,0.017016522644287786,5,1,4,39,0,0,0
141,60820,2650,1,0.0011366781183292304,0.012369811455396547,4,1,4,31,1,0,0
142,60820,20043,1,0.0011366781183292304,0.002598123205297245,4,1,4,6,0,0,0
143,62892,62834,1,0.0003031860411992345,0.0005578755203328199,2,0,9,3,3,0,0
144,62892,34405,1,0.0003031860411992345,0.00554084168976875,3,0,9,12,0,0,0
145,62892,62798,1,0.0003031860411992345,0.0008851522643569263,2,0,9,3,0,0,0
146,62892,20133,1,0.0003031860411992345,0.0023641505254723247,4,0,9,2,277,0,5
147,62892,62815,1,0.0003031860411992345,0.002100114748813482,2,0,9,2,0,0,0
148,62892,62859,1,0.0003031860411992345,0.00033182310635799123,2,0,9,2,0,0,0
149,62892,62823,1,0.0003031860411992345,0.00033182310635799123,2,0,9,2,0,0,0
150,21938,8032,1,0.000523765915040217,0.017016522644287786,6,0,4,39,0,0,0
151,21938,34405,1,0.000523765915040217,0.00554084168976875,5,0,4,12,0,0,0
152,21938,80998,1,0.000523765915040217,0.0023507756297752275,9,0,4,8,0,0,0
153,193990,8032,1,0.002076227613227035,0.017016522644287786,4,1,2,39,0,0,0
154,36298,15307,1,0.0006804627923750321,0.001909037758284099,6,0,3,3,0,0,0
155,36298,2650,1,0.0006804627923750321,0.012369811455396547,6,0,3,31,1,0,0
156,104094,8032,1,0.0005891701301149784,0.017016522644287786,6,0,1,39,0,0,0
157,62990,98820,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,0,0,0
158,62990,63139,1,0.006000218904222919,0.0008989639654218887,2,3,157,5,1,1,0
159,62990,63202,1,0.006000218904222919,0.0006062729475286416,3,3,157,4,0,1,0
160,62990,63118,1,0.006000218904222919,0.0004728201484212704,3,3,157,5,0,1,0
161,62990,98825,1,0.006000218904222919,0.00042034071783746173,2,3,157,3,0,1,0
162,62990,98826,1,0.006000218904222919,0.000953139832424459,2,3,157,2,4,1,0
163,62990,98827,1,0.006000218904222919,0.0011714006887337967,2,3,157,5,4,1,1
164,62990,98829,1,0.006000218904222919,0.0005629780465278486,2,3,157,2,0,0,0
165,62990,98830,1,0.006000218904222919,0.0011217957135164947,2,3,157,3,0,0,0
166,62990,98831,1,0.006000218904222919,0.000658264936261843,2,3,157,2,3,1,0
167,62990,90853,1,0.006000218904222919,0.0005909219497653904,2,3,157,6,0,0,0
168,62990,98839,1,0.006000218904222919,0.00032700834844576665,-1,3,157,0,1,0,1
169,62990,98840,1,0.006000218904222919,0.0006287000686475249,3,3,157,1,0,0,0
170,62990,98842,1,0.006000218904222919,0.000636961103110834,3,3,157,2,0,0,0
171,62990,98845,1,0.006000218904222919,0.0014333092541114153,2,3,157,2,0,1,0
172,62990,98847,1,0.006000218904222919,0.0006392020382345457,2,3,157,2,0,1,0
