Source,Target
10241,16095
10241,7786
10241,16132
28677,61207
28677,80295
28677,36844
180229,170
180229,29279
36870,59157
36870,10427
36870,23949
36870,30483
36870,78814
36870,30430
36870,29279
36870,9613
36870,9644
36870,50732
36870,49248
36870,11271
36870,124487
36870,75153
73734,18193
73734,7839
73734,6389
73734,55202
73734,14715
73734,29346
73734,7861
73734,52086
73734,18228
73734,73217
63500,18873
63500,51383
63500,12792
63500,6389
63500,8593
63500,49392
63500,379
63500,9889
63500,14715
63500,33875
63500,12688
63500,102043
63500,10987
217101,32108
217101,10453
217101,11606
217101,73724
36878,16774
36878,14017
36878,6389
36878,17303
36878,47475
36878,84305
143375,8593
59415,17303
59415,25102
59415,6359
59415,48684
59415,12628
59415,228537
59415,12809
59415,47389
43032,73217
43032,103109
43032,40115
43032,61207
43032,69486
43032,11620
43032,11412
43032,7867
180248,12792
180248,14715
180248,18873
180248,33264
180248,8593
180248,35989
180248,14746
180248,19234
180248,10182
180248,12000
43036,47898
43036,60604
43036,7839
43036,5762
43036,17303
43036,5658
36905,17303
36905,27222
36905,7898
36905,8926
36905,379
36905,31384
36905,48523
36905,21424
36905,25416
36905,24286
36905,119834
36905,15696
14378,14139
14378,79283
14378,41548
14378,58816
14378,124645
14378,48523
14378,51300
14378,15375
14378,27564
22572,17537
22572,14715
22572,146560
22572,16095
43068,23795
43068,17314
43068,12000
43068,14094
43068,5
43068,133381
43068,44541
43068,29932
36924,14715
36924,61396
36924,48706
36924,11606
36924,8668
36924,25416
36924,115454
36931,170
36931,30355
36931,31924
36931,63454
36931,69436
36931,14633
36931,103109
36931,5648
36931,401448
36931,12639
36931,12000
36931,14715
36931,9963
36931,24012
36931,14774
36931,7540
36931,73049
36931,43
36931,25416
36931,8950
36931,7780
57422,47439
57422,6684
57422,15329
57422,44542
57422,12349
57422,12639
57422,18166
57422,379
57422,73217
170072,395866
170072,6389
170072,14763
170072,8668
215128,12655
215128,29708
30817,103245
30817,30099
51300,14378
51300,31380
51300,170
51300,30404
51300,27976
51300,6359
51300,118755
51300,14633
51300,20843
51300,24791
51300,17349
182379,12639
182379,31380
45183,6389
45183,9472
45183,30404
45183,170
45183,14715
45183,57422
24705,31867
24705,24800
24705,9679
24705,47453
24705,12639
24705,29708
24705,28219
24705,30404
24705,21033
24705,21133
24705,6667
24705,55210
24705,18228
24705,47056
350342,200075
39063,7786
39063,17522
39063,12706
39063,23978
39063,12628
39063,12349
39063,19314
28825,27554
28825,5891
28825,18873
28825,8593
28825,15329
28825,29708
28825,12896
28825,15717
80029,113991
80029,299643
80029,15346
80029,33875
80029,7786
80029,41785
80029,8007
80029,23226
268445,29732
268445,17303
268445,379
268445,6684
268445,6389
268445,15344
268445,14017
268445,77453
268445,12000
39075,27976
39075,14763
39075,21033
39075,25416
39075,25335
39075,14715
39075,8007
39075,18228
39075,11412
167,4570
167,4862
167,4885
170,180229
170,237590
16555,52198
16555,52225
16555,52228
16555,22765
16555,16738
16555,13463
16555,13228
16555,52514
16555,52560
10416,48706
10416,30483
10416,20843
10416,48969
10416,14633
10416,49004
14514,16095
14514,53623
14514,78674
14514,9300
14514,170
14514,78768
14514,31937
14514,59415
